date,LT_Rev
20090102,-0.78
20090105,-1.31
20090106,0.73
20090107,0.24
20090108,-0.61
20090109,-0.29
20090112,0.52
20090113,0.08
20090114,-0.22
20090115,-0.79
20090116,-0.39
20090120,-0.91
20090121,-1.31
20090122,-0.62
20090123,-0.26
20090126,-0.49
20090127,0.2
20090128,0.01
20090129,-0.2
20090130,-0.98
20090202,0.84
20090203,-0.66
20090204,-1.5
20090205,-0.12
20090206,0.8
20090209,0.07
20090210,-0.78
20090211,1.28
20090212,-0.24
20090213,-0.77
20090217,0.7
20090218,0.3
20090219,-1.22
20090220,0.1
20090223,1.58
20090224,0.54
20090225,0.61
20090226,-0.31
20090227,0.05
20090302,1.28
20090303,-0.71
20090304,-0.86
20090305,0.62
20090306,-0.33
20090309,-0.01
20090310,0.97
20090311,0.06
20090312,1.63
20090313,0.85
20090316,-1.32
20090317,0.81
20090318,1.59
20090319,-1.49
20090320,0.69
20090323,-0.33
20090324,-0.55
20090325,0.26
20090326,0.5
20090327,0.41
20090330,-0.3
20090331,0.44
20090401,-0.06
20090402,-0.71
20090403,-0.54
20090406,0.28
20090407,-0.24
20090408,0.3
20090409,0.9
20090413,0.95
20090414,-0.13
20090415,0.48
20090416,0.64
20090417,0.23
20090420,-0.77
20090421,0.15
20090422,-0.06
20090423,-0.77
20090424,0.2
20090427,-0.07
20090428,-0.05
20090429,0.08
20090430,0.03
20090501,-1.42
20090504,0.34
20090505,0.76
20090506,0.02
20090507,0.38
20090508,-0.81
20090511,0.64
20090512,-0.79
20090513,0.35
20090514,0.65
20090515,-0.13
20090518,0.45
20090519,-0.5
20090520,-0.26
20090521,0.44
20090522,-0.37
20090526,-0.23
20090527,-0.27
20090528,-0.99
20090529,-0.09
20090601,-1
20090602,-0.17
20090603,0.62
20090604,-0.27
20090605,-0.53
20090608,0.46
20090609,-0.27
20090610,-0.54
20090611,-0.07
20090612,0.39
20090615,0.08
20090616,-0.01
20090617,0.36
20090618,0.04
20090619,0.46
20090622,0.39
20090623,-0.13
20090624,0.11
20090625,0.16
20090626,0.55
20090629,-0.02
20090630,0.07
20090701,0.05
20090702,-0.17
20090706,0.47
20090707,0.72
20090708,-0.24
20090709,-0.06
20090710,0.29
20090713,1.03
20090714,-0.15
20090715,0.15
20090716,-0.48
20090717,-0.63
20090720,0.04
20090721,-0.9
20090722,0.89
20090723,0.53
20090724,-0.03
20090727,1.08
20090728,0.9
20090729,0.58
20090730,-0.09
20090731,0.42
20090803,0.19
20090804,0.88
20090805,1.28
20090806,0.46
20090807,0.77
20090810,0.16
20090811,-0.75
20090812,-0.06
20090813,0.2
20090814,0.15
20090817,-0.34
20090818,0.3
20090819,-0.27
20090820,0.37
20090821,0.27
20090824,-0.47
20090825,1.02
20090826,0.28
20090827,0.6
20090828,0.19
20090831,0
20090901,-1.33
20090902,-0.19
20090903,0.42
20090904,0.2
20090908,-0.49
20090909,0.38
20090910,0.22
20090911,-0.31
20090914,0.34
20090915,0.23
20090916,0.56
20090917,-0.37
20090918,0.11
20090921,0.21
20090922,0.09
20090923,-0.17
20090924,-0.67
20090925,-0.35
20090928,0.67
20090929,0.28
20090930,-0.46
20091001,-0.94
20091002,-0.61
20091005,1.01
20091006,0.1
20091007,0.03
20091008,0.26
20091009,0.02
20091012,0.24
20091013,0.08
20091014,0.62
20091015,-0.63
20091016,-1.27
20091019,-0.3
20091020,-0.73
20091021,-0.38
20091022,0.61
20091023,-0.82
20091026,-0.91
20091027,-0.97
20091028,-1.72
20091029,1.79
20091030,-1.18
20091102,-0.17
20091103,0.64
20091104,-0.37
20091105,0.74
20091106,0.35
20091109,1.22
20091110,-0.42
20091111,0.53
20091112,-0.12
20091113,0.07
20091116,0.34
20091117,0.09
20091118,0.36
20091119,-0.62
20091120,-0.68
20091123,-0.01
20091124,-0.58
20091125,0.04
20091127,-0.64
20091130,0.52
20091201,0.12
20091202,0.07
20091203,-0.28
20091204,1.01
20091207,-0.23
20091208,-0.1
20091209,-0.06
20091210,-0.45
20091211,0.65
20091214,0.08
20091215,-0.63
20091216,0.48
20091217,-0.38
20091218,0.35
20091221,0.09
20091222,0.36
20091223,-0.07
20091224,0.1
20091228,-0.34
20091229,-0.08
20091230,-0.22
20091231,0.31
20100104,0.79
20100105,1.28
20100106,0.43
20100107,1.33
20100108,0.03
20100111,0.05
20100112,-0.98
20100113,0.4
20100114,0.3
20100115,-0.59
20100119,0.26
20100120,0.21
20100121,-0.9
20100122,-0.79
20100125,0.02
20100126,0.02
20100127,0.27
20100128,0.13
20100129,-0.43
20100201,0.77
20100202,0.74
20100203,-0.21
20100204,-0.95
20100205,0.05
20100208,-0.16
20100209,0.4
20100210,0.39
20100211,0.13
20100212,0.04
20100216,1.11
20100217,0.36
20100218,-0.21
20100219,0.02
20100222,0.49
20100223,-0.85
20100224,0.59
20100225,0.09
20100226,0.3
20100301,0.47
20100302,-0.01
20100303,0.29
20100304,0.28
20100305,0.74
20100308,0.29
20100309,0.59
20100310,0.52
20100311,0.19
20100312,-0.06
20100315,-0.35
20100316,1.11
20100317,0.26
20100318,-0.37
20100319,-1.07
20100322,0.58
20100323,0.54
20100324,0.76
20100325,-0.05
20100326,0.44
20100329,-0.23
20100330,-0.55
20100331,-0.1
20100401,0.54
20100405,1.11
