date,Cnsmr,Manuf,HiTec,Hlth ,Other
20150102,-0.57,0.27,-0.24,1.26,-0.36
20150105,-1.21,-2.94,-1.4,0.16,-1.4
20150106,-1.43,-1.83,-1.49,-1.51,-1.3
20150107,1.95,-0.22,0.85,2,0.62
20150108,1.53,1.74,1.64,2.02,1.15
20150109,-1.06,-0.76,-0.43,-0.04,-0.81
20150112,-0.03,-1.62,-0.48,0.46,-0.52
20150113,-0.04,-0.18,-0.01,-1.02,-0.1
20150114,-0.55,0.06,-0.8,0.34,-0.94
20150115,-1.61,-1.86,-1.8,-2.83,-1.16
20150116,1.16,2,1.56,1.88,1.22
20150120,-0.65,-0.92,-0.23,-0.28,-0.56
20150121,0.05,0.86,-0.32,-1.58,0.02
20150122,1.64,1.13,1.32,1.03,1.9
20150123,-0.25,-0.57,0.29,0.04,-0.59
20150126,0.7,1.16,0.81,1.97,0.63
20150127,-0.4,-0.03,-0.65,0.4,-0.52
20150128,-1.29,-2.19,-1.13,-1.28,-1.46
20150129,1.31,0.65,0.89,1.4,0.77
20150130,-1.89,-0.55,-1.5,-1.57,-1.32
20150202,0.65,2.25,0.82,-0.39,1.15
20150203,1.79,3.31,1.8,0.01,1.5
20150204,-0.3,-1.3,-0.12,-0.89,-0.23
20150205,1.04,1.93,1.22,1.88,1.2
20150206,0.19,-0.17,0.07,-0.32,0.27
20150209,-0.64,0.36,-0.34,-0.21,-0.54
20150210,0.41,-0.34,0.75,1.19,0.28
20150211,0.14,-0.39,0.02,0.1,-0.03
20150212,0.48,1.41,1.02,1.22,0.94
20150213,0.51,1.32,0.88,1.17,0.49
20150217,0.05,0.54,0.02,1.63,0.1
20150218,0.34,0.03,-0.02,1.05,-0.19
20150219,0.2,-0.22,0.43,0.44,0.15
20150220,0.04,-0.07,0.21,0.46,0.06
20150223,-0.28,-0.58,-0.53,0.37,-0.28
20150224,0.23,0.48,0.57,-0.6,0.77
20150225,0.21,0.23,0.64,1.4,0.14
20150226,-0.09,-0.46,0.1,1.18,0.05
20150227,-0.35,-0.52,-0.24,-0.85,-0.44
20150302,0.66,-0.12,1.05,1.15,0.66
20150303,-0.37,-0.32,-0.68,-0.41,-0.45
20150304,-0.68,-0.55,-0.35,0.91,-0.48
20150305,0.16,-0.07,0.34,1.12,0.16
20150306,-1.01,-1.5,-1.09,-0.64,-0.51
20150309,0.26,-0.3,-0.05,-0.2,0.28
20150310,-1.22,-2.01,-1.59,-0.65,-1.18
20150311,0.04,0.21,0.13,0.25,0.52
20150312,1.62,0.83,1.3,1.08,1.64
20150313,-0.62,-0.79,-0.38,-0.18,-0.34
20150316,0.19,-0.12,0.29,0.62,0.21
20150317,0.15,-0.03,0.17,0.48,0.12
20150318,0.8,2.01,0.91,0.26,0.14
20150319,0.37,-1.11,0.3,1.83,-0.15
