MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
2020/9/15,1.375,100.002,100.006,-0.002,-0.3473
2020/9/30,1.375,100.022,100.026,unch.,-0.1962
2020/9/30,2,100.034,100.04,-0.002,-0.2844
2020/9/30,2.75,100.044,100.05,-0.002,-0.108
2020/10/15,1.625,100.044,100.05,-0.002,-0.009
2020/10/31,1.375,100.054,100.06,-0.002,0.022
2020/10/31,1.75,100.072,100.076,-0.002,0.002
2020/10/31,2.875,100.122,100.126,-0.002,0
2020/11/15,1.75,100.094,100.1,-0.002,0.008
2020/11/15,2.625,100.142,100.146,-0.004,0.054
2020/11/30,1.625,100.106,100.112,-0.004,0.036
2020/11/30,2,100.132,100.136,-0.002,0.058
2020/11/30,2.75,100.186,100.192,-0.004,0.031
2020/12/15,1.875,100.152,100.156,-0.002,-0.002
2020/12/31,1.75,100.156,100.162,-0.004,0.081
2020/12/31,2.375,100.216,100.222,-0.006,0.089
2020/12/31,2.5,100.23,100.234,-0.002,0.086
2021/1/15,2,100.206,100.212,-0.006,0.075
2021/1/31,1.375,100.154,100.16,-0.002,0.088
2021/1/31,2.125,100.25,100.254,-0.002,0.074
2021/1/31,2.5,100.296,100.302,unch.,0.067
2021/2/15,2.25,100.292,100.296,-0.002,0.084
2021/2/15,3.625,101.16,101.164,-0.004,0.093
2021/2/15,7.875,103.104,103.11,-0.01,0.084
2021/2/28,1.125,100.15,100.154,unch.,0.099
2021/2/28,2,100.282,100.286,-0.002,0.097
2021/2/28,2.5,101.036,101.042,-0.004,0.101
2021/3/15,2.375,101.046,101.052,-0.004,0.107
2021/3/31,1.25,100.196,100.202,unch.,0.108
2021/3/31,2.25,101.054,101.06,-0.006,0.108
2021/4/15,2.375,101.11,101.114,unch.,0.092
2021/4/30,1.375,100.252,100.256,-0.004,0.114
2021/4/30,2.25,101.11,101.114,-0.002,0.12
2021/5/15,2.625,101.216,101.222,-0.006,0.128
2021/5/15,3.125,102.006,102.012,-0.004,0.121
2021/5/15,8.125,105.136,105.142,-0.006,0.104
2021/5/31,1.375,100.284,100.29,-0.002,0.118
2021/5/31,2,101.106,101.112,-0.004,0.125
2021/5/31,2.125,101.136,101.142,-0.004,0.12
2021/6/15,2.625,101.286,101.292,unch.,0.112
2021/6/30,1.125,100.252,100.256,-0.002,0.124
2021/6/30,1.625,101.062,101.066,-0.002,0.118
2021/6/30,2.125,101.19,101.194,-0.002,0.123
2021/7/15,2.625,102.032,102.036,unch.,0.118
2021/7/31,1.125,100.28,100.284,unch.,0.122
2021/7/31,1.75,101.136,101.142,unch.,0.122
2021/7/31,2.25,101.276,101.282,-0.006,0.129
2021/8/15,2.125,101.266,101.272,-0.004,0.131
2021/8/15,2.75,102.132,102.136,-0.002,0.133
2021/8/15,8.125,107.142,107.146,-0.004,0.092
2021/8/31,1.125,100.306,100.312,0.002,0.12
2021/8/31,1.5,101.102,101.106,unch.,0.125
2021/8/31,2,101.26,101.264,unch.,0.118
2021/9/15,2.75,102.204,102.21,unch.,0.127
2021/9/30,1.125,101.012,101.016,0.002,0.124
2021/9/30,1.5,101.14,101.144,unch.,0.121
2021/9/30,2.125,102.026,102.032,unch.,0.13
2021/10/15,2.875,102.316,103.002,unch.,0.127
2021/10/31,1.25,101.084,101.09,0.002,0.124
2021/10/31,1.5,101.174,101.18,0.002,0.126
2021/10/31,2,102.034,102.04,unch.,0.132
2021/11/15,2,102.062,102.066,unch.,0.123
2021/11/15,2.875,103.07,103.074,unch.,0.129
2021/11/15,8,109.09,109.094,unch.,0.11
2021/11/30,1.5,101.21,101.214,unch.,0.13
2021/11/30,1.75,101.306,101.312,unch.,0.13
2021/11/30,1.875,102.036,102.042,unch.,0.127
2021/12/15,2.625,103.042,103.046,unch.,0.128
